model_checkpoint,contains_matrix_aux_retrieval_head,matching_heads,n_matching_heads,ood_accuracy
question_D_hier90_linear10_two_phase_200k_seed49_12625806__checkpoint_300000,True,"((2, 4),)",1,0.999979942168
question_D_hier90_linear10_two_phase_200k_seed50_12625807__checkpoint_300000,True,"((2, 1), (2, 3))",2,4.121739646205001e-05
question_D_hier90_linear10_two_phase_200k_seed51_12628746__checkpoint_300000,True,"((0, 5), (2, 3), (2, 6))",3,0.8917101979347389
question_D_hier90_linear10_two_phase_200k_seed52_12628803__checkpoint_300000,True,"((2, 6), (2, 7))",2,0.99096616640884
question_D_hier90_linear10_two_phase_200k_seed53_12629366__checkpoint_300000,True,"((2, 0),)",1,0.9982626284478767
question_D_hier90_linear10_two_phase_200k_seed54_12629502__checkpoint_300000,True,"((1, 3), (2, 7))",2,0.9603505178704238
question_D_hier90_linear10_two_phase_200k_seed55_12629681__checkpoint_300000,True,"((1, 2), (2, 0))",2,0.952743957122433
question_D_hier90_linear10_two_phase_200k_seed56_12629901__checkpoint_300000,False,(),0,0.999977821026
question_D_hier90_linear10_two_phase_200k_seed57_12630034__checkpoint_300000,True,"((2, 7),)",1,0.8766748137533917
question_D_hier90_linear10_two_phase_200k_seed58_12682784__checkpoint_300000,True,"((2, 4),)",1,0.6531109822248169
question_D_hier90_linear10_two_phase_200k_seed59_12682785__checkpoint_300000,False,(),0,0.6921943787641063
question_D_hier90_linear10_two_phase_200k_seed60_12682786__checkpoint_300000,True,"((0, 6),)",1,0.9999839421050001
question_D_hier90_linear10_two_phase_200k_seed61_12682787__checkpoint_300000,True,"((2, 4),)",1,0.4285666695275692
question_D_hier90_linear10_two_phase_200k_seed62_12682788__checkpoint_300000,True,"((2, 5),)",1,0.9747519443957761
question_D_hier90_linear10_two_phase_200k_seed63_12682789__checkpoint_300000,False,(),0,0.14109267606826342
question_D_hier90_linear10_two_phase_200k_seed64_12682806__checkpoint_300000,False,(),0,0.8306538767460936
question_D_hier90_linear10_two_phase_200k_seed65_12682807__checkpoint_300000,True,"((2, 1),)",1,0.9653590343000938
question_D_hier90_linear10_two_phase_200k_seed66_12682810__checkpoint_300000,False,(),0,0.1368199021816269
question_D_hier90_linear10_two_phase_200k_seed67_12682822__checkpoint_300000,True,"((2, 5), (2, 7))",2,0.0025435986226399403
question_D_hier90_linear10_two_phase_200k_seed68_12682852__checkpoint_300000,False,(),0,0.06125429964617989
