model_checkpoint,contains,layer,head,ood_base,id_base,ood_uniform,ood_mean,id_uniform,id_mean
question_D_hier90_linear10_two_phase_200k_seed77_12696787__checkpoint_300000,True,2,2,0.8454123735427856,1.0,0.8435590863227844,0.8527085185050964,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed78_12696800__checkpoint_300000,True,1,4,0.9731842875480652,1.0,0.9763951897621155,0.9755540490150452,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed78_12696800__checkpoint_300000,True,1,5,0.9731842875480652,1.0,0.9689720273017883,0.9709593653678894,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed79_12696813__checkpoint_300000,True,2,1,0.6964002847671509,1.0,0.7026470303535461,0.705299437046051,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed81_12596471__checkpoint_300000,True,2,6,0.9572644233703613,1.0,0.8611512780189514,0.9102889895439148,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed82_13749499__checkpoint_300000,True,1,6,0.7567209601402283,1.0,0.7335800528526306,0.7323667407035828,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed82_13749499__checkpoint_300000,True,2,7,0.7567209601402283,1.0,0.7728365063667297,0.7724833488464355,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed83_13750234__checkpoint_300000,True,1,4,0.6314416527748108,1.0,0.6406071782112122,0.6491156220436096,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed83_13750234__checkpoint_300000,True,2,7,0.6314416527748108,1.0,0.6320028305053711,0.6357382535934448,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed84_13750317__checkpoint_300000,True,1,6,0.5642771124839783,1.0,0.5767453908920288,0.5945476293563843,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed84_13750317__checkpoint_300000,True,2,2,0.5642771124839783,1.0,0.4295044541358948,0.49810826778411865,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed84_13750317__checkpoint_300000,True,2,3,0.5642771124839783,1.0,0.5215705037117004,0.5445300340652466,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed85_13750997__checkpoint_300000,True,1,3,0.6508793830871582,1.0,0.6538460850715637,0.6524875164031982,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed85_13750997__checkpoint_300000,True,2,6,0.6508793830871582,1.0,0.647146999835968,0.6406992673873901,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed86_13751077__checkpoint_300000,True,0,0,0.6707952618598938,1.0,0.6717901229858398,0.6709054112434387,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed86_13751077__checkpoint_300000,True,2,2,0.6707952618598938,1.0,0.6736951470375061,0.6709185838699341,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed86_13751077__checkpoint_300000,True,2,4,0.6707952618598938,1.0,0.6714802384376526,0.6706383228302002,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed88_14895416__checkpoint_300000,True,1,3,0.32175031304359436,1.0,0.27408725023269653,0.29387304186820984,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed88_14895416__checkpoint_300000,True,2,2,0.32175031304359436,1.0,0.31573033332824707,0.32442542910575867,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed90_13770938__checkpoint_300000,True,2,0,0.7492313385009766,1.0,0.7202351093292236,0.7604215145111084,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed90_13770938__checkpoint_300000,True,2,1,0.7492313385009766,1.0,0.7445135116577148,0.7432602643966675,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed90_13770938__checkpoint_300000,True,2,2,0.7492313385009766,1.0,0.8339831829071045,0.7958464622497559,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed91_13771414__checkpoint_300000,True,1,4,0.9214730262756348,1.0,0.9221462607383728,0.9171983003616333,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed91_13771414__checkpoint_300000,True,2,6,0.9214730262756348,1.0,0.8894258141517639,0.9031029939651489,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed92_13772014__checkpoint_300000,True,2,0,0.8923564553260803,1.0,0.8978191018104553,0.8966856598854065,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed93_13772029__checkpoint_300000,True,2,6,0.9999815225601196,1.0,0.9999816417694092,0.9999815821647644,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed94_13772162__checkpoint_300000,True,2,0,0.9776085019111633,1.0,0.9697478413581848,0.9701467156410217,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed94_13772162__checkpoint_300000,True,2,4,0.9776085019111633,1.0,0.9700585007667542,0.976528525352478,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed95_13772359__checkpoint_300000,True,0,3,0.5383642911911011,1.0,0.523655354976654,0.5192196369171143,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed95_13772359__checkpoint_300000,True,2,5,0.5383642911911011,1.0,0.6375425457954407,0.6396496295928955,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed96_13777368__checkpoint_300000,True,2,3,0.9945574998855591,1.0,0.999980628490448,0.9993972182273865,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed96_13777368__checkpoint_300000,True,2,5,0.9945574998855591,1.0,0.9921403527259827,0.9917258024215698,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed96_13777368__checkpoint_300000,True,2,6,0.9945574998855591,1.0,0.9986157417297363,0.9985573887825012,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed96_13777368__checkpoint_300000,True,2,7,0.9945574998855591,1.0,0.9856153726577759,0.9876510500907898,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed97_14895579__checkpoint_300000,True,2,2,1.7512389604235068e-05,1.0,1.7464741176809184e-05,1.752417483658064e-05,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed98_13783525__checkpoint_300000,True,2,0,0.7529535889625549,1.0,0.8048461675643921,0.8060237765312195,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed98_13783525__checkpoint_300000,True,2,4,0.7529535889625549,1.0,0.7735845446586609,0.7678425312042236,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed98_13783525__checkpoint_300000,True,2,6,0.7529535889625549,1.0,0.7360376119613647,0.7542324066162109,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed98_13783525__checkpoint_300000,True,2,7,0.7529535889625549,1.0,0.7885750532150269,0.7769803404808044,1.0,1.0
