id,n_layer,n_head,wd,ood_acc,ood_acc_mean_ablated,delta_mean,delta_uniform,csv_ood_acc,sign,viol,head_type
cgujbsul,2,2,0.001,0.821,0.853,0.03200000000000003,0.025000000000000022,0.821,False,False,neither
2wnh45yf,2,2,0.0,0.696,0.637,-0.05899999999999994,-0.06299999999999994,0.696,False,False,neither
7462ah0o,2,2,0.01,0.799,0.909,0.10999999999999999,0.10999999999999999,0.799,True,False,sign-matching
1aez5d6p,2,2,0.001,0.779,0.837,0.05799999999999994,0.05799999999999994,0.779,True,False,sign-matching
oztpx1dr,2,2,0.0,0.574,0.891,0.31700000000000006,0.32200000000000006,0.574,False,False,neither
50h5xlod,2,2,0.01,0.899,0.927,0.028000000000000025,0.029000000000000026,0.899,True,False,sign-matching
qzndq9pi,2,2,0.001,0.771,0.836,0.06499999999999995,0.051999999999999935,0.771,True,False,sign-matching
hcagncwq,2,2,0.0,0.929,0.678,-0.251,-0.276,0.929,False,False,neither
cojliiss,2,2,0.01,0.966,0.966,0.0,0.0,0.966,False,False,neither
8a65u5l6,2,2,0.001,0.739,0.821,0.08199999999999996,0.08799999999999997,0.739,True,False,sign-matching
2uzl6lk7,2,2,0.0,0.859,0.795,-0.06399999999999995,-0.08399999999999996,0.859,False,False,neither
7c5f2auc,2,2,0.01,0.944,0.961,0.017000000000000015,0.018000000000000016,0.944,True,False,sign-matching
wfwpq5xc,2,2,0.001,0.812,0.914,0.10199999999999998,0.10999999999999999,0.812,True,False,sign-matching
jqv202lw,2,2,0.0,0.501,0.604,0.10299999999999998,0.09399999999999997,0.501,True,False,sign-matching
wdig9pe9,2,2,0.01,0.88,0.88,0.0,0.0,0.88,False,False,neither
vsuilhs4,2,2,0.001,0.895,0.779,-0.11599999999999999,-0.136,0.895,False,True,violation-detecting
ew6ocawx,2,2,0.0,0.851,0.662,-0.18899999999999995,-0.21699999999999997,0.851,False,True,violation-detecting
irtoff2i,2,2,0.01,0.898,0.898,0.0,0.0,0.898,False,False,neither
5jiu3i86,2,2,0.001,0.005,0.005,0.0,0.0,0.005,False,False,neither
xmktkp86,2,2,0.0,0.294,0.475,0.181,0.182,0.294,False,False,neither
109k9pcu,2,2,0.01,0.854,0.854,0.0,0.0,0.854,False,False,neither
azc37rul,2,2,0.001,0.814,0.825,0.01100000000000001,0.007000000000000006,0.814,False,False,neither
539mnmya,2,2,0.0,0.997,0.568,-0.42900000000000005,-0.44999999999999996,0.997,False,True,violation-detecting
