id,n_layer,n_head,wd,layer,head,ood_acc,ood_acc_single_mean,delta_mean_single,delta_uniform_single,csv_ood_acc,sign_score,viol_score,head_type
u5d6anhu,1,2,0.01,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
u5d6anhu,1,2,0.01,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.012,neither
3e5qgrm2,1,2,0.001,1,1,0.0,0.0,0.0,0.0,0.0,0.0179999992251396,0.0,neither
3e5qgrm2,1,2,0.001,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
g0qzzup8,1,2,0.0,1,1,0.415,0.428,0.013000000000000012,0.010000000000000009,0.415,0.0120000001043081,0.002,neither
g0qzzup8,1,2,0.0,1,2,0.415,0.0,-0.415,-0.415,0.415,0.0,0.032,neither
rjzaa8z4,1,2,0.01,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
rjzaa8z4,1,2,0.01,1,2,0.0,0.0,0.0,0.0,0.0,0.0010000000474974,0.0,neither
dyd9jqjs,1,2,0.001,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,neither
dyd9jqjs,1,2,0.001,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
khq096d1,1,2,0.0,1,1,0.335,0.46,0.125,0.12,0.335,0.0010000000474974,0.012,neither
khq096d1,1,2,0.0,1,2,0.335,0.0,-0.335,-0.335,0.335,0.0,0.026,neither
lbumrsrs,2,2,0.01,1,1,0.938,0.938,0.0,0.0,0.938,0.0010000000474974,0.0,neither
lbumrsrs,2,2,0.01,1,2,0.938,0.938,0.0,0.0,0.938,0.0,0.0,neither
lbumrsrs,2,2,0.01,2,1,0.938,0.938,0.0,0.0,0.938,0.0,0.0,neither
lbumrsrs,2,2,0.01,2,2,0.938,0.993,0.05500000000000005,0.05500000000000005,0.938,0.9710000157356262,0.0,sign-matching
g0drb6n9,2,2,0.001,1,1,0.817,0.817,0.0,0.0,0.817,0.0,0.008,neither
g0drb6n9,2,2,0.001,1,2,0.817,0.818,0.0010000000000000009,0.0010000000000000009,0.817,0.0,0.013,neither
g0drb6n9,2,2,0.001,2,1,0.817,0.817,0.0,0.0,0.817,0.0,0.0,neither
g0drb6n9,2,2,0.001,2,2,0.817,0.915,0.09800000000000009,0.09600000000000009,0.817,1.0,0.0,sign-matching
t8nwv4de,2,2,0.0,1,1,0.91,0.903,-0.007000000000000006,-0.0050000000000000044,0.91,0.0049999998882412,0.015,neither
t8nwv4de,2,2,0.0,1,2,0.91,0.896,-0.014000000000000012,-0.010000000000000009,0.91,0.0040000001899898,0.021,neither
t8nwv4de,2,2,0.0,2,1,0.91,0.727,-0.18300000000000005,-0.18900000000000006,0.91,0.0,0.893,violation-detecting
t8nwv4de,2,2,0.0,2,2,0.91,0.741,-0.16900000000000004,-0.18100000000000005,0.91,0.0020000000949949,0.789,neither
al0zr865,2,2,0.01,1,1,0.874,0.874,0.0,0.0,0.874,0.0,0.0,neither
al0zr865,2,2,0.01,1,2,0.874,0.874,0.0,0.0,0.874,0.0,0.0,neither
al0zr865,2,2,0.01,2,1,0.874,0.951,0.07699999999999996,0.07799999999999996,0.874,1.0,0.0,sign-matching
al0zr865,2,2,0.01,2,2,0.874,0.874,0.0,0.0,0.874,0.0,0.0,neither
cgujbsul,2,2,0.001,1,1,0.821,0.821,0.0,0.0,0.821,0.0170000009238719,0.0,neither
cgujbsul,2,2,0.001,1,2,0.821,0.821,0.0,0.0,0.821,0.0149999996647238,0.0,neither
cgujbsul,2,2,0.001,2,1,0.821,0.821,0.0,0.0,0.821,0.0,0.0,neither
cgujbsul,2,2,0.001,2,2,0.821,0.853,0.03200000000000003,0.025000000000000022,0.821,0.753000020980835,0.247,neither
2wnh45yf,2,2,0.0,1,1,0.696,0.706,0.010000000000000009,-0.0040000000000000036,0.696,0.0260000005364418,0.006,neither
2wnh45yf,2,2,0.0,1,2,0.696,0.697,0.0010000000000000009,-0.006000000000000005,0.696,0.0179999992251396,0.007,neither
2wnh45yf,2,2,0.0,2,1,0.696,0.659,-0.03699999999999992,-0.038999999999999924,0.696,0.0010000000474974,0.55,neither
2wnh45yf,2,2,0.0,2,2,0.696,0.675,-0.020999999999999908,-0.019999999999999907,0.696,0.0219999998807907,0.444,neither
7462ah0o,2,2,0.01,1,1,0.799,0.799,0.0,0.0,0.799,0.0010000000474974,0.0,neither
7462ah0o,2,2,0.01,1,2,0.799,0.799,0.0,0.0,0.799,0.0010000000474974,0.0,neither
7462ah0o,2,2,0.01,2,1,0.799,0.799,0.0,0.0,0.799,0.0,0.0,neither
7462ah0o,2,2,0.01,2,2,0.799,0.909,0.10999999999999999,0.10999999999999999,0.799,1.0,0.0,sign-matching
